iter	RMSE
0	0.2079187208
1	0.1909064043
2	0.1757946812
3	0.1618204573
4	0.1494747174
5	0.1385473623
6	0.1288672756
7	0.1200426466
8	0.1122798404
9	0.105561104
10	0.09987100689
11	0.09463320665
12	0.08989979501
13	0.08588937039
14	0.08242500685
15	0.07926269551
16	0.07648383231
17	0.07413568745
18	0.0721769547
19	0.0704209066
20	0.06878031675
21	0.06742768087
22	0.06631604142
23	0.06525393438
24	0.0643725261
25	0.06366884301
26	0.06293658185
27	0.06228453227
28	0.06164492682
29	0.061160942
30	0.06070223502
31	0.06025335866
32	0.0599010068
33	0.05959820222
34	0.05928785074
35	0.05886859972
36	0.05853897822
37	0.05826580381
38	0.05796379279
39	0.05766627838
40	0.05746533188
41	0.05727374367
42	0.05702226963
43	0.05687731027
44	0.05673576856
45	0.05655125145
46	0.0563651518
47	0.05617084313
48	0.05604041134
49	0.05596156339
50	0.05582951238
51	0.05571354452
52	0.05556995946
53	0.055452512
54	0.05534711573
55	0.05527884695
56	0.05515714087
57	0.05509606185
58	0.05501942903
59	0.05491988082
60	0.05482904838
61	0.05474906655
62	0.05468087801
63	0.05457335298
64	0.05444781627
65	0.05433959662
66	0.05421276224
67	0.05414395938
68	0.05406501802
69	0.05398814771
70	0.05393675671
71	0.0538432308
72	0.05377723445
73	0.05372820283
74	0.05368697668
75	0.05363961181
76	0.05356614794
77	0.05347979031
78	0.0533810562
79	0.05334765858
80	0.05330055818
81	0.05325668309
82	0.0531632717
83	0.05311497998
84	0.05304862202
85	0.05300526692
86	0.05297090498
87	0.05289698128
88	0.05285025783
89	0.05280525182
90	0.0527450223
91	0.05271870899
92	0.05267996224
93	0.05265434104
94	0.05261758132
95	0.05256741219
96	0.05251305999
97	0.05241755156
98	0.05238037567
99	0.05233597141
100	0.0522786308
101	0.05220768384
102	0.05213459981
103	0.05207732518
104	0.05200646666
105	0.05196336481
106	0.0519091559
107	0.05186888891
108	0.05182751795
109	0.05177208928
110	0.05173259522
111	0.05170494539
112	0.05165618869
113	0.0515931734
114	0.05156184815
115	0.05152500307
116	0.05147634218
117	0.05142186666
118	0.0513898462
119	0.0513679625
120	0.0513235592
121	0.05130027044
122	0.05126165895
123	0.0512195126
124	0.05117097066
125	0.0511447433
126	0.0511059177
127	0.05107387753
128	0.05104528459
129	0.05101321241
130	0.05097867628
131	0.05096008786
132	0.05092457593
133	0.05089034056
134	0.05086198618
135	0.05083472956
136	0.05077704701
137	0.05074560375
138	0.05068354205
139	0.0506530922
140	0.05060899195
141	0.05055688128
142	0.05052751936
143	0.05048262137
144	0.05044544127
145	0.05037147597
146	0.05033989853
147	0.05030885987
148	0.05027960273
149	0.05025254208
150	0.05020689935
151	0.05017841967
152	0.05014272719
153	0.05011496688
154	0.0500333815
155	0.05000333414
156	0.04997778006
157	0.04993489649
158	0.04989824326
159	0.04987692561
160	0.04984390789
161	0.04982064971
162	0.04979432089
163	0.04977444236
164	0.04974243463
165	0.0497296397
166	0.04969546801
167	0.04967694338
168	0.04965689897
169	0.04963938362
170	0.04961535726
171	0.04958878413
172	0.04955771047
173	0.04953707383
174	0.04948505793
175	0.04946821386
176	0.04944144415
177	0.04940443521
178	0.0493788186
179	0.04935619331
180	0.04933550312
181	0.04931744455
182	0.04930207163
183	0.049278426
184	0.04926314521
185	0.04921786766
186	0.0491935878
187	0.04917693629
188	0.049131888
189	0.04910418719
190	0.04908349465
191	0.0490562871
192	0.04903201138
193	0.04901835731
194	0.04899705119
195	0.04897321687
196	0.04894758832
197	0.04893148165
198	0.04890883131
199	0.04889181167
